system:index,BuiltUp,Curvature,DistRiver,Elevation,Flood,FlowAccum,HAND,LandCover,NDVI,NDWI,Slope,random,.geo
3642,0.0,1.1704922,2916.0247,14.032443,1,0.13497053,0.69348836,30.0,0.41896203,-0.5026098,0.67942727,0.17139508352522004,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.92427833281822,8.82024697135657]}"
3645,0.0,0.0,150.0,16.5,1,0.028636564,0.0,90.0,0.7107926,-0.5820663,0.0,0.6415049064581807,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.98479803326504,8.703155254721937]}"
3648,0.0,0.0,1075.4069,3.0,1,0.011058336,0.12621045,90.0,0.6606745,-0.5001547,0.0,0.6471101346292953,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.73108083629023,9.19321076450415]}"
3650,0.0,0.024462223,2460.0,4.2247562,1,35.17095,0.9781925,30.0,0.4845509,-0.5124451,0.5840296,0.1117716625897669,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.84222632702472,9.197038330984626]}"
3651,0.0,0.23049957,2608.6204,1.0307425,1,0.17934063,0.14787507,30.0,0.46528655,-0.53504366,0.07041887,0.24099968801884852,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.94925816257343,9.296344623622575]}"
3652,0.0,0.8285947,3305.0415,4.2695856,1,0.062228937,0.63349396,30.0,0.45860967,-0.5105571,0.38707793,0.678661710818307,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.8908599553115,9.208588200884433]}"
3653,0.0,0.48561668,400.2499,10.339422,1,0.008446591,0.8209457,40.0,0.31560892,-0.37332138,0.11043402,0.3717982783822793,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.85739929502343,8.916726133892158]}"
3656,0.0,-0.7573204,1920.0,7.773934,1,0.03448364,0.25728506,30.0,0.62685746,-0.5673383,0.44123545,0.05615065357348881,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.86481752460911,9.05345590864522]}"
3657,0.0,0.0,982.7004,3.0,1,0.8362558,0.24007341,90.0,0.48611796,-0.46280724,0.0,0.2582446555647657,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.7362052631792,9.1622688785797]}"
3660,0.0,0.6403656,42.426407,13.993877,1,18.129814,0.009457685,30.0,0.38959932,-0.4557904,0.4322248,0.20982860203753873,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.91788495761291,8.77169596279678]}"
3661,0.0,0.54598117,2822.552,3.8212318,1,0.02304197,0.08029455,40.0,0.47887516,-0.43975663,0.32570496,0.3787416582696259,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.7781584897262,9.118497544766017]}"
3664,0.0,0.0,1926.0841,3.5,1,0.017145896,1.3569796,90.0,0.2554437,-0.19235046,0.0,0.36535580316345295,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.68226485510887,9.082874111526737]}"
3666,0.0,0.0,1444.9913,3.0,1,59.907734,0.5987081,90.0,0.5705846,-0.49195096,0.0,0.12129371441261894,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.76230346880656,9.108763306370545]}"
3668,0.0,0.41856384,722.49567,20.861475,1,0.05150149,1.1385553,30.0,0.58052176,-0.5121464,0.36276248,0.24734279025120043,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.0265128838872,8.600487606067295]}"
3669,0.0,-0.19339299,1288.6039,3.7819664,1,0.3601545,0.4485101,30.0,0.50252926,-0.55792,0.34183013,0.013334079172951596,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.78107281739479,9.20287375841833]}"
3671,0.0,0.68382454,3259.9387,20.1621,1,0.008471412,1.2741164,30.0,0.59562165,-0.6392956,2.3243659,0.24881318393226615,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.00250152707687,8.592140016086573]}"
3673,0.0,-0.19974709,420.0,14.427299,1,0.16573244,0.20869565,30.0,0.8064313,-0.65177286,0.33794752,0.40759757083364423,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.95435538418812,8.741760346547444]}"
3674,0.0,0.107675076,60.0,5.86259,1,35.16955,1.1524694,40.0,0.5526555,-0.5592807,0.20854998,0.19530455393837487,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.85321863635973,9.11181749546985]}"
3676,0.0,0.0,4576.254,3.0,1,0.016540362,0.2539463,90.0,0.27770796,-0.40325698,0.0,0.19827203858255804,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.67413273289016,9.113549879077691]}"
3677,0.0,0.0,258.06976,3.0,1,0.7303511,0.004378884,90.0,0.4552937,-0.35824022,0.0,0.3143120768477724,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.7348718722208,9.1777373326782]}"
3678,0.0,0.79132366,1539.3829,11.162626,1,0.18875779,0.029015534,30.0,0.41399223,-0.4745834,1.0250536,0.559850184200523,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.87988344757413,8.96279849028845]}"
3680,0.0,-0.05770302,351.141,20.262989,1,0.0093407435,0.96643114,30.0,0.5800781,-0.5823961,0.04747919,0.6350054216119079,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.02901029464053,8.616759913673036]}"
3681,0.0,0.0,1682.6764,3.0,1,1.2116227,0.52260447,90.0,0.5841788,-0.53301084,0.0,0.4591702289150419,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.66113397768626,9.170825059196057]}"
3682,0.0,0.5592556,3086.503,18.483248,1,0.03294908,0.67254424,30.0,0.65677226,-0.61960495,0.25083458,0.6410600651867877,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.97725825240518,8.63453084324991]}"
3684,0.0,3.62397,2736.5854,16.766844,1,6.9450808,0.2462412,30.0,0.7616377,-0.659271,2.934036,0.5132964607334434,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.99501297879873,8.750609221506144]}"
3686,0.0,-1.1697807,831.9255,7.454553,1,0.24325171,0.21273917,30.0,0.51236194,-0.5256036,1.719185,0.06243692236293852,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.85416287202558,9.049411064095079]}"
3687,0.0,1.104332,2070.0,19.400534,1,0.66977495,0.9671024,30.0,0.45901227,-0.5120811,0.17593713,0.546936294703201,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.8954969232994,8.647211501560268]}"
3691,0.0,0.0,0.0,3.5,1,835.32135,0.5394269,90.0,0.19864802,-0.20419818,0.0,0.507787896162674,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.75310064022716,9.14649710605947]}"
3693,0.0,0.0,150.0,3.0,1,0.06726834,0.008501454,90.0,0.34210527,-0.30947828,0.0,0.696667176358254,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.68297339617129,9.16834250106268]}"
3694,0.0,3.5729122,0.0,2.0,1,4526.3896,2.5208697,80.0,-0.29023385,0.34683543,3.6839068,0.14680568796063542,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.88138615567546,9.24225501912713]}"
3695,0.0,-1.0277195,800.4998,17.428436,1,0.0084513845,1.1444702,30.0,0.56313586,-0.5782477,0.85291404,0.6744650537237089,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.96820979285171,8.720833602783095]}"
3696,0.0,0.6546807,1689.0826,4.6662836,1,0.61113304,0.5349457,30.0,0.45410037,-0.49190003,0.11940063,0.23186200194433693,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.81908241874194,9.106740741643334]}"
3697,0.0,4.5471563,0.0,8.5,1,1189.2649,0.19420868,30.0,0.521692,-0.5225176,1.7743504,0.6553697485551225,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.86675431053945,8.949805958170833]}"
3698,0.0,0.8655262,510.0,22.771189,1,1.2458783,0.28514904,30.0,0.51359296,-0.5590313,0.3572191,0.3137859481418588,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.95800890184898,8.568919503280947]}"
3699,0.0,-0.07016492,2135.9072,3.6772017,1,0.008441503,0.9071873,30.0,0.3029343,-0.4345518,1.0030051,0.3735591160372135,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.7203202833703,9.138152459141123]}"
3701,0.0,0.0,2172.6711,3.0,1,59.21737,0.0,90.0,-0.03411131,0.09274874,0.0,0.12826021703338675,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.86791971447582,9.207558910132416]}"
3702,44.91334,1.0740027,1608.0112,4.386729,1,0.081100054,0.5149759,30.0,0.51388234,-0.5571152,0.9235953,0.3521436714544959,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.9114240899067,9.241366076605491]}"
3704,0.0,2.8165731,180.0,10.058212,1,0.015716808,1.1150247,30.0,0.5314193,-0.5418598,0.27042872,0.466130878387942,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.86071735292944,8.935439853008859]}"
3705,0.0,3.7131605,30.0,4.32511,1,43.537453,3.656234,30.0,0.64059407,-0.5963391,1.9690815,0.46030753475271124,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.88166262314613,9.243610932478333]}"
3707,0.0,0.22296524,2619.6375,4.0715227,1,0.027643118,0.77636135,30.0,0.63932294,-0.5426558,0.3194002,0.05770266941457303,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.80768013767599,9.134984021977356]}"
3708,0.0,2.217169,1166.9191,3.0,1,0.011634519,0.63138795,30.0,0.6748697,-0.61479414,0.0,0.04480062492733761,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.70379304151221,9.202761567433143]}"
3709,0.0,0.1667707,774.2093,4.266433,1,0.378456,1.1424508,90.0,0.69236916,-0.616177,1.2820128,0.42292976389284476,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.82440213154571,9.164520720379514]}"
3711,0.0,1.2189293,3000.0,18.134064,1,0.008955507,0.9018213,30.0,0.54038745,-0.54545456,0.15766855,0.5200150959652455,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.03078159671809,8.66667724864152]}"
3714,0.0,-0.42924023,90.0,10.229197,1,0.011695197,0.9919136,30.0,0.59226716,-0.57428324,0.61602116,0.18451859055855557,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.85638834232161,8.951186693823983]}"
3715,0.0,0.49080467,780.0,18.425777,1,0.08295287,0.36884436,30.0,0.45983803,-0.5354512,0.19113614,0.6562261856066606,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.00179867383878,8.6358241047833]}"
3716,0.0,0.0,960.0,3.0,1,0.52885383,0.15531161,90.0,0.0304916,0.0030102348,0.0,0.23008393274748018,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.80724371392363,9.183552098784531]}"
3717,0.0,0.0,216.33308,3.5,1,0.018828409,0.11828309,90.0,0.1986037,-0.24575138,0.0,0.5933607915404276,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.7492850631404,9.149760949086225]}"
3718,0.0,0.0,1850.5404,3.0,1,2.8665438,0.15945983,40.0,0.46742338,-0.37094378,0.0,0.5352160737437296,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.76861143883198,9.122316429171537]}"
3719,0.0,0.0,0.0,3.0,1,1297.4833,0.06834723,90.0,0.43613088,-0.41658482,0.0,0.6863174294100515,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.71575487798265,9.176147710901041]}"
3720,0.0,-0.4212742,1281.6006,13.31949,1,0.3529925,0.3725706,30.0,0.6469907,-0.5886129,0.3873955,0.3068017499063601,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.89824330328854,8.769843924044894]}"
3721,0.0,0.24813223,2522.8555,3.694411,1,0.24068852,0.44592804,90.0,0.7275126,-0.62720287,0.1410806,0.3889838551728718,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.90701788625186,9.226997445028953]}"
3722,0.0,-0.043964624,2537.9717,4.229097,1,0.02718097,0.17805485,40.0,0.6300253,-0.49510056,0.8172805,0.6352721758755827,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.7507883101733,9.085181607885692]}"
3723,0.0,0.40542793,361.24783,16.673985,1,0.008451734,1.6586573,30.0,0.6984494,-0.58448756,0.39729822,0.5883987338281484,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.99348165154139,8.687124923937171]}"
3725,0.0,0.0,2256.3909,3.0,1,0.009371055,1.6395698,30.0,0.4333568,-0.44885474,0.0,0.6747260913164463,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.6643783300814,9.153453811168216]}"
3726,0.0,-0.6159332,6403.788,3.9212906,1,0.06361386,0.0,90.0,0.74400854,-0.6561983,1.4030739,0.13562012560530234,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.63266889770006,9.132617774544945]}"
3729,0.0,1.0437565,391.15213,25.602505,1,0.04740712,0.5796544,30.0,0.59166664,-0.58178055,0.075082846,0.29771979046095876,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.96268466514957,8.476658166861604]}"
3730,0.0,-0.31446552,2671.5164,4.1591506,1,0.051495265,0.5525996,90.0,0.57420325,-0.5275389,0.22431538,0.562572484626588,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.80713349628417,9.134713912470659]}"
