system:index,BuiltUp,Curvature,DistRiver,Elevation,Flood,FlowAccum,HAND,LandCover,NDVI,NDWI,Slope,random,.geo
1919,0.0,1.5468903,1390228.5,78.77227,0,0.25463635,8.800789,30.0,0.72636616,-0.70014405,10.0690565,0.2230677225120571,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.96546294587012,9.026344234303192]}"
1920,0.0,1.8389988,7841.8877,22.842672,0,0.14356199,1.7715458,30.0,0.36190805,-0.4456947,2.1180463,0.8441552468428596,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.63593352840331,8.81243428952891]}"
1921,0.0,14.637268,1390228.5,82.014626,0,0.008436928,38.12585,10.0,0.670518,-0.62045085,8.699103,0.4076047907333288,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.75923391425036,9.333156879614592]}"
1922,0.0,8.946556,1390228.5,81.18274,0,2.2976427,2.936268,30.0,0.73538905,-0.6219839,5.0704427,0.9701850692582735,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.0754327553872,8.834495336328285]}"
1923,36.308773,-2.7164574,1171.5375,18.831316,0,0.009098472,1.8723949,30.0,0.60963684,-0.60347825,2.0798087,0.2986036460879955,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.96492491228288,8.715958206217405]}"
1924,0.0,3.1328735,1390228.5,79.72622,0,0.2640783,5.4342003,30.0,0.6110082,-0.5878978,10.270723,0.5540761634065635,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.02275574504378,9.115450275125323]}"
1925,0.0,1.8550329,2830.9893,3.975452,0,0.008435959,0.6917626,10.0,0.82188433,-0.6893253,0.70741326,0.744788869318069,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.8942834698758,9.374082983932144]}"
1926,0.0,4.29677,6286.629,20.873106,0,0.016061042,2.0513096,30.0,0.76752967,-0.6831022,0.091060646,0.5495753811319231,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.90100174169022,9.005887656668044]}"
1927,0.0,1.570343,9171.663,28.780193,0,0.027350746,7.2178135,30.0,0.51522386,-0.54379565,0.5274255,0.9323833369657775,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.98267608009736,8.829594832661517]}"
1928,30.123413,-0.7898102,11244.999,49.813145,0,0.32842547,3.0611207,30.0,0.4314649,-0.4985207,6.807134,0.15339330547030228,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.95693414704765,9.103691483022674]}"
1929,0.0,-0.21870422,1390228.5,61.644855,0,0.48097834,1.6873357,30.0,0.52152383,-0.50206846,5.5528245,0.4091292884916864,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.0316299680008,8.875315283692872]}"
1930,0.0,2.069991,737.9024,4.8553944,0,0.03425723,1.1237062,30.0,0.43458396,-0.47333997,0.18101098,0.12341544174473262,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.63217081364459,9.00400542246403]}"
1931,0.0,4.040024,3253.8591,42.72908,0,0.100169376,2.8074048,30.0,0.6074246,-0.6137899,4.009375,0.8240763160780639,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.93318815873401,8.562739801564536]}"
1932,0.0,-7.9763346,582.4946,19.309483,0,0.009570592,0.5534378,10.0,0.83631855,-0.7449594,1.8462217,0.07004876965904905,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.91818237156994,8.781734172839887]}"
1933,28.714003,3.8685837,1390228.5,76.12804,0,0.018626668,23.225067,30.0,0.43783948,-0.5022068,5.2392035,0.5937672782446554,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.53554982499226,9.18514238939241]}"
1934,0.0,2.8126068,6661.081,20.645557,0,0.028688047,1.0221105,30.0,0.6510105,-0.59911776,5.0248775,0.6068409474453014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.90384812013504,9.161617890024614]}"
1935,0.0,-3.0605583,12972.841,64.96009,0,0.018514944,8.111666,40.0,0.4266908,-0.4828117,3.7881608,0.4025919478501193,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.4778191050526,9.100564796009978]}"
1936,0.0,12.456261,1390228.5,100.61756,0,0.19517322,3.2414038,10.0,0.7450277,-0.6814326,2.8211443,0.19965875144362966,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.19917552069032,8.460267761943788]}"
1937,0.0,-1.1755714,7682.109,47.081608,0,0.022525474,9.557571,30.0,0.47197157,-0.54951066,3.3236673,0.439909535094553,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.50694358779424,9.038388238944894]}"
1938,1349.3096,-1.7265921,42.426407,7.4027634,0,0.008439325,6.008564,30.0,0.48212448,-0.4736688,3.0178347,0.46559963454148623,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.8174569841222,9.231553348633035]}"
1939,0.0,14.182251,1390228.5,152.28525,0,0.34100115,6.5920873,30.0,0.68014354,-0.6290884,2.6908574,0.7637541727315267,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.54875179315891,8.701591830105988]}"
1940,0.0,0.9453168,6199.0483,4.875932,0,0.1873422,0.5082917,30.0,0.2881314,-0.41351536,1.4030974,0.9039698199672523,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.65228766473591,9.111147678119684]}"
1941,0.0,0.024776459,1390228.5,36.149784,0,0.055224806,5.900427,30.0,0.42113692,-0.47343662,0.78880155,0.770815191687138,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.59716360778302,9.288153130961028]}"
1942,0.0,-1.1952801,8938.037,23.256151,0,0.4421068,2.4466667,30.0,0.31286436,-0.44647446,2.2693276,0.27775832146657276,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.6079126487827,8.858879859734753]}"
1943,57.074165,-0.99463177,3555.981,10.427742,0,0.014362533,0.777998,30.0,0.72235674,-0.63922673,1.5688848,0.4553836453007707,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.75410623042517,8.840977101311214]}"
1944,72.304504,5.3267164,30.0,9.506866,0,0.008443806,1.0952946,30.0,0.7528977,-0.6705053,2.2696266,0.11036853412107128,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.8451309158503,9.038850377646513]}"
1945,0.0,-0.39156246,4562.4663,6.6802864,0,0.015635435,0.31951433,30.0,0.4108888,-0.4502551,0.24690853,0.04316197231506547,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.75287383987117,8.905556619819087]}"
1946,2666.5115,1.6815224,228.47319,17.166887,0,0.0084502855,2.600373,50.0,0.13242479,-0.16662252,0.7097032,0.20759732316722102,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.89683799985131,8.75248251011374]}"
1947,0.0,-10.575018,1092.0165,35.18743,0,0.008452654,8.989979,30.0,0.420059,-0.51003766,4.602917,0.40045658396088035,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.93311749022055,8.64522240922322]}"
1948,0.0,12.106535,2430.0,28.259172,0,0.022027567,14.684219,30.0,0.4645134,-0.46513605,8.108792,0.9393595086183655,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.89975340707115,8.71720341435529]}"
